country_code,year,current_account_pct_gdp,gdp_usd_bn,gdp_growth_pct,inflation_avg_pct,unemployment_pct,govt_gross_debt_gdp,population_millions,source_engine
ABW,2010,-18.7,2.454,-3.3,2.1,10.6,54.7,0.109,imf_datamapper_v1
ABW,2011,-10.0,2.638,3.6,4.4,8.9,59.3,0.108,imf_datamapper_v1
ABW,2012,3.6,2.615,-1.2,0.6,9.6,65.5,0.107,imf_datamapper_v1
ABW,2013,-12.0,2.728,7.1,-2.4,7.6,70.0,0.107,imf_datamapper_v1
ABW,2014,-4.8,2.791,1.4,0.4,7.5,77.7,0.108,imf_datamapper_v1
ABW,2015,3.9,2.963,3.6,0.5,7.3,74.2,0.108,imf_datamapper_v1
ABW,2016,4.6,2.984,1.2,-0.9,7.7,75.4,0.109,imf_datamapper_v1
ABW,2017,1.0,3.092,3.5,-1.0,8.9,75.8,0.109,imf_datamapper_v1
ABW,2018,-0.5,3.276,3.2,3.6,7.3,73.3,0.109,imf_datamapper_v1
ABW,2019,0.2,3.347,1.2,3.9,5.2,72.1,0.109,imf_datamapper_v1
ABW,2020,-17.2,2.471,-23.9,-1.3,8.6,116.3,0.109,imf_datamapper_v1
ABW,2021,-2.3,2.881,14.7,0.7,8.8,109.7,0.109,imf_datamapper_v1
ABW,2022,6.4,3.324,10.6,5.5,4.3,96.1,0.109,imf_datamapper_v1
ABW,2023,5.4,3.871,8.9,3.4,4.0,80.3,0.109,imf_datamapper_v1
ADVEC,2010,0.0,43799.462,3.1,1.6,8.4,93.8,1042.043,imf_datamapper_v1
ADVEC,2011,-0.1,47038.04,1.7,2.7,8.0,97.6,1047.47,imf_datamapper_v1
ADVEC,2012,0.0,46867.397,1.2,2.0,8.1,101.8,1052.108,imf_datamapper_v1
ADVEC,2013,0.5,47336.913,1.5,1.4,8.0,101.0,1056.461,imf_datamapper_v1
ADVEC,2014,0.5,48490.422,2.2,1.3,7.4,100.7,1061.49,imf_datamapper_v1
ADVEC,2015,0.6,45898.598,2.4,0.3,6.7,100.6,1066.613,imf_datamapper_v1
ADVEC,2016,0.8,47158.323,1.8,0.7,6.3,102.5,1071.935,imf_datamapper_v1
ADVEC,2017,1.0,49233.645,2.6,1.7,5.7,100.4,1076.203,imf_datamapper_v1
ADVEC,2018,0.8,52110.328,2.3,2.0,5.1,100.0,1080.378,imf_datamapper_v1
ADVEC,2019,0.7,52663.787,1.9,1.4,4.8,100.9,1084.471,imf_datamapper_v1
ADVEC,2020,0.3,51829.643,-3.9,0.7,6.6,119.3,1088.157,imf_datamapper_v1
ADVEC,2021,0.7,57983.984,6.1,3.1,5.6,112.9,1089.164,imf_datamapper_v1
ADVEC,2022,-0.5,59358.621,3.1,7.3,4.5,107.9,1094.27,imf_datamapper_v1
ADVEC,2023,0.0,62760.184,1.7,4.6,4.4,107.0,1102.582,imf_datamapper_v1
AFG,2010,29.4,15.325,8.4,2.2,,7.7,28.19,imf_datamapper_v1
AFG,2011,26.6,17.89,6.5,11.8,,7.5,29.249,imf_datamapper_v1
AFG,2012,10.9,20.293,14.0,6.4,,6.8,30.466,imf_datamapper_v1
AFG,2013,1.4,20.17,5.7,7.4,,6.9,31.541,imf_datamapper_v1
AFG,2014,6.5,20.616,2.7,4.7,,8.7,32.716,imf_datamapper_v1
AFG,2015,3.7,20.057,1.0,-0.7,,9.2,33.753,imf_datamapper_v1
AFG,2016,9.0,18.02,2.2,4.4,,8.4,34.636,imf_datamapper_v1
AFG,2017,7.6,18.883,2.6,5.0,,8.0,35.643,imf_datamapper_v1
AFG,2018,12.1,18.336,1.2,0.6,,7.4,36.687,imf_datamapper_v1
AFG,2019,11.7,18.876,3.9,2.3,,6.1,37.769,imf_datamapper_v1
AFG,2020,14.0,20.136,-2.4,5.6,,7.3,38.972,imf_datamapper_v1
AFG,2021,-0.1,14.278,-14.5,7.8,,11.1,40.099,imf_datamapper_v1
AFG,2022,-18.5,14.501,-6.2,10.6,,10.6,40.579,imf_datamapper_v1
AFG,2023,-20.3,17.248,2.3,-7.7,,8.3,41.455,imf_datamapper_v1
AFQ,2010,0.2,2260.829,6.4,8.1,,29.6,1017.001,imf_datamapper_v1
AFQ,2011,-0.3,2529.0,3.1,9.2,,30.8,1045.126,imf_datamapper_v1
AFQ,2012,-0.9,2710.456,5.7,9.2,,31.5,1074.631,imf_datamapper_v1
AFQ,2013,-2.2,2829.29,3.8,6.8,,33.5,1103.495,imf_datamapper_v1
AFQ,2014,-3.8,2954.646,4.0,7.0,,35.7,1132.816,imf_datamapper_v1
AFQ,2015,-5.7,2679.832,3.4,7.3,,40.9,1161.578,imf_datamapper_v1
