country_code,year,remittances_received_usd,remittances_paid_usd,remittances_pct_gdp,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,gni_per_capita_usd,inflation_cpi_pct,unemployment_pct,current_account_pct_gdp,population_total,population_growth_pct,urban_population_pct,personal_remittances_recv,personal_remittances_paid,net_migration,migrant_stock_total,poverty_headcount_pct,life_expectancy_years,remittance_cost_inward_pct,remittance_cost_outward_pct,forex_reserves_usd,fdi_inflows_usd,bank_branches_per_100k,atms_per_100k,mobile_money_accounts_pct,country_name,region,income_group,capital_city,latitude,longitude,source_engine,remittances_per_capita_usd,remittances_growth_yoy
1A,2010,37780646734.5291,54239338856.3516,2.33281486643365,2161397546202.94,5944.95217290432,4.84064243847079,5774.98123912106,,9.57178825247491,,363568534.0,1.99515168852155,55.5920977319461,37780646734.5291,54239338856.3516,156222.0,28174387.0,,69.8073221012027,,,,45647503422.7865,10.8267818126756,19.6995833050517,9.60443782059374,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,103.9162,
1A,2011,38944864662.4978,67661826415.1485,1.90077622298891,2573067811497.98,6915.82768123695,3.85320358755794,6088.03455998523,,10.6873951414609,,372054934.0,2.30736970092213,56.052080900428,38944864662.4978,67661826415.1485,223817.0,,,69.3633376859826,,,,33243608525.5217,11.6325975402685,18.7268478188231,9.38214705732919,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,104.675,3.08
1A,2012,45933616316.8183,74494429135.4469,2.04879091628196,2813567531715.43,7384.10682814613,5.49375422924652,6953.25432671482,,11.0650966632009,,381030177.0,2.38370613008674,56.7609778940107,45933616316.8183,74494429135.4469,577194.0,,,69.842316602094,,,,42932591402.5434,12.7197368185502,20.2051734366246,9.15761335129793,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,120.5511,17.95
1A,2013,47228856824.5071,85596649517.1956,2.02688578257585,2883689839002.54,7376.02829575498,2.64732060879508,7360.49020143498,,11.0350018909533,,390954281.0,2.57120480453802,57.5747135596837,47228856824.5071,85596649517.1956,735533.0,,,70.1921058451273,,,,35765830416.7,13.0652472542682,22.5119871397226,8.4725388392884,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,120.804,2.82
1A,2014,53122149553.0829,87003954093.6241,2.22628728317741,2937035588682.67,7338.35092727915,2.6597523137165,7407.96185989713,,11.0319261608507,,400231008.0,2.34512756475237,58.0278238886845,53122149553.0829,87003954093.6241,575497.0,,,70.5350666310281,,,,24540020180.3313,12.7928098637373,23.0479197583871,7.24005846798719,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,132.7287,12.48
1A,2015,49328023741.0255,86616836929.8801,2.36208121060186,2580328583417.41,6290.55879501691,3.35080366726505,6936.64478950725,,11.1524464292006,,410190679.0,2.4580221910701,58.351712270484,49328023741.0255,86616836929.8801,364082.0,37971563.0,,70.6580123695192,,,,21337111052.2071,12.5756099701701,23.3521636450203,7.40338028991252,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,120.2563,-7.14
1A,2016,48657414274.7084,84701681208.0964,2.37882336061564,2536564595458.87,6042.19675439672,3.57286827951262,6479.26731169955,,10.8617161429412,,419808341.0,2.31761538561915,58.5622937950483,48657414274.7084,84701681208.0964,132220.0,,,70.8964881164428,,,,47085439651.6688,12.4491381068269,26.1144560670316,7.64447069405084,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,115.9039,-1.36
1A,2017,51685576366.1304,81955127495.1904,2.51785421086335,2611323720520.0,6096.72395041636,1.32901000226768,6048.46130686394,,11.1152019032057,,428315886.0,2.00626985832883,58.6808941601595,51685576366.1304,81955127495.1904,-994068.0,,,71.1128560080646,,,,30527077377.2239,12.0117409783385,26.7178138287611,8.15335997506725,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,120.6716,6.22
1A,2018,52731314243.8832,80931765313.8823,2.2797420027772,2920829737234.67,6699.18058175457,2.67255324455269,6328.94973978727,,10.6546406452031,,435998060.0,1.77768190401844,58.7847025324078,52731314243.8832,80931765313.8823,-591361.0,,,71.4312997859137,,,,42865771096.2676,12.0919172078632,27.9293581395085,8.23789171736995,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,120.9439,2.02
1A,2019,55076353850.7278,81598928000.8817,2.32533773535132,2965285548936.01,6674.34224402621,1.74778112240244,6590.57416900269,,10.2137182910936,,444281315.0,1.88201603418311,58.8962879377102,55076353850.7278,81598928000.8817,-51896.0,,,71.8398932674972,,,,34413431967.3474,12.1865890606138,28.8449825624824,8.39839954284368,1A,Unknown,Unknown,Unknown,0.0,0.0,world_bank_v2,123.9673,4.45
